Metric / Flag,Python (mean),.NET (mean),DeltaPercent
BlurScore,61.5449995679874,358.45411789953096,81.87719330133315
MotionBlurScore,0.8835189090272947,0.8741076741805961,3.236149281298455
GlareArea,137107.35,144059.06,7.665612791858819
Exposure,125.54840849729939,125.53930095713172,0.008002784756745497
Contrast,52.825096419529984,52.82328955774955,0.008809842401799599
Noise,51.02328722993827,26.40204359567901,50.188265309664786
ColorDominance,1.2194806223547112,1.2194805260357606,7.850831823263987e-06
BandingScore,1641.2321876857482,1641.035233522133,0.03285678756058918
BrisqueScore,nan,4.4415159240148645,nan
IsBlurry,0.72,0.17,55.00000000000001
HasGlare,1.0,1.0,0.0
IsWellExposed,0.85,0.85,0.0
HasLowContrast,0.0,0.0,0.0
HasNoise,1.0,0.68,32.0
HasColorDominance,0.0,0.0,0.0
HasBanding,1.0,1.0,0.0
