Metric,Type,NetMAE,PyMAE,CountCompared,NetAccuracy,PyAccuracy
BlurScore,numeric,137.56582481750976,0.0,10,,
IsBlurry,bool,,,10,1.0,1.0
MotionBlurScore,numeric,5080000000.697019,0.0,10,,
GlareArea,numeric,7770.5,0.0,10,,
HasGlare,bool,,,10,0.9,1.0
Exposure,numeric,0.0027250503567245233,0.0,10,,
IsWellExposed,bool,,,10,1.0,1.0
Contrast,numeric,0.0002726182556443132,0.0,10,,
HasLowContrast,bool,,,10,1.0,1.0
Noise,numeric,14.04248097877437,0.0,10,,
HasNoise,bool,,,10,0.8,1.0
ColorDominance,numeric,7.827488164302565e-08,0.0,10,,
HasColorDominance,bool,,,10,1.0,1.0
BandingScore,numeric,103.5273503804384,0.0,10,,
BrisqueScore,numeric,,,0,,
ElapsedMs,numeric,20.52410593322754,8.932971954345703,10,,
